$ID,$ID_NAME,CoolDown,Description,Effect,Effect_CaptionRatio,Effect_CaptionRatio2,Effect_CaptionRatio3,Effect_CaptionTime,Effect_SkillFactor,Effect_SkillSR,Effect_SpendItemCount,Effect_SpendPoison,Effect_SpendSP,Element,Icon,IsEnchanter,IsPardoner,IsShinobi,LevelMax,LevelPerCircle,Link_Attributes,Link_Gem,Link_Job,Name,OverHeat,Prop_BasicPoison,Prop_LvUpSpendPoison,Prop_SklAtkAdd,Prop_SklAtkAddByLevel,Prop_SklFactor,Prop_SklFactorByLevel,Prop_SklSR,Prop_SpendItemBaseCount,RequiredCircle,RequiredStance,RequiredStanceCompanion,RequiredSubWeapon,SP,SPPerLevel,TypeAttack
22,HeavyVibrate_Attack,0,{#DD5500}{ol}[Physical]{/}{/}{nl}Item skill,,,,,,,,,,,6,icon_war_bash,False,False,False,-1,-1,,,,Attack,0,0,0,0.0,0.0,100.0,0.0,0.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}]",1,False,0,0.0,[6]
23,Dash_Attack,0,{#DD5500}{ol}[Physical]{/}{/}{nl}This is the dash version of the base attack,,,,,,,,,,,6,icon_war_bash,False,False,False,-1,-1,,,,Dash Attack,0,0,0,0.0,0.0,100.0,0.0,0.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}]",1,False,0,0.0,[6]
51,Bow_Attack2,0,{#DD5500}{ol}[Physical] - [Piercing]{/}{/}{nl}Bow Left hand,,,,,,,,,,,6,icon_war_bash,False,False,False,-1,-1,,,,Basic Attack 2,0,0,0,0.0,0.0,100.0,0.0,0.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}]",1,False,0,0.0,"[6, 7]"
52,CrossBow_Attack,0,{#}{ol}[Missile]{/}{/}{nl}Right-hand Bow (Crossbow only),,,,,,,,,,,6,icon_war_bash,False,False,False,-1,-1,,,,Basic Attack,0,0,0,0.0,0.0,100.0,0.0,0.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}, {""Name"": ""Companion"", ""Icon"": ""weapon_companion""}]",0,False,0,0.0,[2]
53,Pistol_Attack,0,{#}{ol}[Missile] - [Gun]{/}{/}{nl}Right-handed Pistol (Pistol Only),,,,,,,,,,,6,icon_war_bash,False,False,False,-1,-1,,,,Basic Attack,0,0,0,0.0,0.0,100.0,0.0,-999.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}, {""Name"": ""Companion"", ""Icon"": ""weapon_companion""}]",0,True,0,0.0,"[2, 5]"
55,Musket_Attack,0,{#}{ol}[Missile] - [Gun]{/}{/}{nl}Attack a distant enemy,,,,,,,,,,,6,icon_war_bash,False,False,False,-1,-1,,,,Basic Attack,0,0,0,0.0,0.0,100.0,0.0,0.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}, {""Name"": ""Companion"", ""Icon"": ""weapon_companion""}]",0,False,0,0.0,"[2, 5]"
56,Sword_Attack,0,{#DD5500}{ol}[Physical]{/}{/}{nl}Attack an enemy from a short distance.,,,,,,,,,,,6,icon_war_bash,False,False,False,-1,-1,,,,Basic Attack,0,0,0,0.0,0.0,100.0,0.0,3.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}, {""Name"": ""Companion"", ""Icon"": ""weapon_companion""}]",0,True,0,0.0,[6]
57,Pistol_Attack2,0,{#}{ol}[Missile] - [Gun]{/}{/}{nl}Right-handed Pistol (Pistol Only),,,,,,,,,,,6,icon_war_bash,False,False,False,-1,-1,,,,Basic Attack,0,0,0,365.0,73.0,100.0,0.0,-1.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}, {""Name"": ""Companion"", ""Icon"": ""weapon_companion""}]",2,True,0,0.0,"[2, 5]"
58,Cannon_Attack,1,{#}{ol}[Missile]{/}{/}{nl}Cannon Attack,,,,,,,,,,,6,icon_war_bash,False,False,False,-1,-1,,,,Basic Attack,0,0,0,0.0,0.0,338.0,23.6,9.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}, {""Name"": ""Companion"", ""Icon"": ""weapon_companion""}]",0,True,0,0.0,[2]
59,War_JustFramePistol,0,{#}{ol}[Missile] - [Gun]{/}{/}{nl}Right-handed Pistol (Pistol Only),,,,,,,,,,,6,icon_war_bash,False,False,False,-1,-1,,,,Basic Attack,0,0,0,0.0,0.0,100.0,0.0,0.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}, {""Name"": ""Companion"", ""Icon"": ""weapon_companion""}]",0,True,0,0.0,"[2, 5]"
63,DoubleGun_Attack,0,{#}{ol}[Missile] - [Gun]{/}{/}{nl}Double Pistol Attack,,,,,,,,,,,6,icon_war_bash,False,False,False,-1,-1,,,,Basic Attack,0,0,0,0.0,0.0,100.0,10.0,-1.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}]",1,True,0,0.0,"[2, 5]"
64,Muleta_Attack,0,{#DD5500}{ol}[Physical] - [Piercing]{/}{/}{nl}Counter Attack an enemy from a short distance.,,,,,,,,,,,6,icon_war_bash,False,False,False,-1,-1,,,,Muleta counter attack,0,0,0,0.0,0.0,914.0,50.299999,1.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}, {""Name"": ""Companion"", ""Icon"": ""weapon_companion""}]",0,False,0,0.0,"[6, 7]"
65,LightningHands_Attack,0,{#993399}{ol}[Magic] - [Lightning]{/}{/}{nl}Lightning Hands,,,,,,,,,,,5,icon_war_bash,False,False,False,-1,-1,,,,Lightning Hands Basic Attack,0,0,0,0.0,0.0,100.0,0.0,3.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}, {""Name"": ""Companion"", ""Icon"": ""weapon_companion""}]",0,False,0,0.0,[1]
66,NakMuay_Attack,0,{#DD5500}{ol}[Strike] - [Physical]{/}{/}{nl}Nak Muay Attack,,,,,,,,,,,6,icon_war_bash,False,False,False,-1,-1,,,,Basic Attack,0,0,0,0.0,0.0,100.0,10.0,1.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}]",1,False,0,0.0,"[9, 6]"
68,Lycan_Half_Attack,0,{#DD5500}{ol}[Physical]{/}{/}{nl}Attack an enemy from a short distance.,,,,,,,,,,,6,icon_war_bash,False,False,False,-1,-1,,,,Basic Attack,0,0,0,0.0,0.0,100.0,0.0,1.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}, {""Name"": ""Companion"", ""Icon"": ""weapon_companion""}]",0,False,0,0.0,[6]
69,Inquisitor_Burning_Attack,0,{#DD5500}{ol}[Physical]{/}{/}{nl}Burn Skill,,,,,,,,,,,6,icon_war_bash,False,False,False,-1,-1,,,,Burn,0,0,0,0.0,0.0,100.0,0.0,0.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}, {""Name"": ""Companion"", ""Icon"": ""weapon_companion""}]",0,False,0,0.0,[6]
100,Default,0,{#DD5500}{ol}[Physical]{/}{/}{nl},,,,,,,,,,,6,icon_war_bash,False,False,False,-1,-1,,,,Basic,0,0,0,0.0,0.0,100.0,0.0,0.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}]",1,True,0,0.0,[6]
1506,DragonCrash,0,{#DD5500}{ol}[Physical]{/}{/}{nl}Attack an enemy from a short distance.,,,,,,,,,,,6,icon_war_bash,False,False,False,-1,-1,,,,Basic Attack,0,0,0,0.0,0.0,100.0,0.0,1.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}]",1,False,0,0.0,[6]
1507,Fly_Shot,0,{#DD5500}{ol}[Physical]{/}{/}{nl}Attack an enemy from a short distance.,,,,,,,,,,,6,icon_war_bash,False,False,False,-1,-1,,,,Basic Attack,0,0,0,0.0,0.0,100.0,0.0,1.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}]",1,False,0,0.0,[6]
1508,FlyLightning,0,{#993399}{ol}[Magic]{/}{/}{nl}Attack an enemy from a short distance.,,,,,,,,,,,6,icon_war_bash,False,False,False,-1,-1,,,,Basic Attack,0,0,0,0.0,0.0,100.0,0.0,1.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}]",1,False,0,0.0,[1]
1509,Gravity_1,0,{#993399}{ol}[Magic]{/}{/}{nl}Attack an enemy from a short distance.,,,,,,,,,,,6,icon_war_bash,False,False,False,-1,-1,,,,Basic Attack,0,0,0,0.0,0.0,100.0,0.0,-1.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}]",1,False,0,0.0,[1]
1510,Gravity_2,0,{#993399}{ol}[Magic]{/}{/}{nl}Attack an enemy from a short distance.,,,,,,,,,,,6,icon_war_bash,False,False,False,-1,-1,,,,Basic Attack,0,0,0,0.0,0.0,100.0,0.0,-1.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}]",1,False,0,0.0,[1]
1511,Gravity_3,0,{#993399}{ol}[Magic]{/}{/}{nl}Attack an enemy from a short distance.,,,,,,,,,,,6,icon_war_bash,False,False,False,-1,-1,,,,Basic Attack,0,0,0,0.0,0.0,100.0,0.0,-1.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}]",1,False,0,0.0,[1]
1512,Gravity_4,0,{#993399}{ol}[Magic]{/}{/}{nl}Attack an enemy from a short distance.,,,,,,,,,,,6,icon_war_bash,False,False,False,-1,-1,,,,Basic Attack,0,0,0,0.0,0.0,100.0,0.0,-1.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}]",1,False,0,0.0,[1]
1514,Snow_2,0,{#993399}{ol}[Magic]{/}{/}{nl}Attack an enemy from a short distance.,,,,,,,,,,,6,icon_war_bash,False,False,False,-1,-1,,,,Basic Attack,0,0,0,0.0,0.0,100.0,0.0,1.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}]",1,False,0,0.0,[1]
1515,Snow_3,0,{#993399}{ol}[Magic]{/}{/}{nl}Attack an enemy from a short distance.,,,,,,,,,,,6,icon_war_bash,False,False,False,-1,-1,,,,Basic Attack,0,0,0,0.0,0.0,100.0,0.0,1.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}]",1,False,0,0.0,[1]
1516,Snow_4,0,{#993399}{ol}[Magic]{/}{/}{nl}Attack an enemy from a short distance.,,,,,,,,,,,6,icon_war_bash,False,False,False,-1,-1,,,,Basic Attack,0,0,0,0.0,0.0,100.0,0.0,1.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}]",1,False,0,0.0,[1]
1517,Cannon_1,0,{#DD5500}{ol}[Physical]{/}{/}{nl}Attack an enemy from a short distance.,,,,,,,,,,,6,icon_war_bash,False,False,False,-1,-1,,,,Basic Attack,0,0,0,0.0,0.0,100.0,0.0,1.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}]",1,False,0,0.0,[6]
1518,Cannon_2,0,{#DD5500}{ol}[Physical]{/}{/}{nl}Attack an enemy from a short distance.,,,,,,,,,,,6,icon_war_bash,False,False,False,-1,-1,,,,Basic Attack,0,0,0,0.0,0.0,100.0,0.0,1.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}]",1,False,0,0.0,[6]
1519,Cannon_3,0,{#DD5500}{ol}[Physical]{/}{/}{nl}Attack an enemy from a short distance.,,,,,,,,,,,6,icon_war_bash,False,False,False,-1,-1,,,,Basic Attack,0,0,0,0.0,0.0,100.0,0.0,1.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}]",1,False,0,0.0,[6]
1520,Cannon_4,0,{#DD5500}{ol}[Physical]{/}{/}{nl}Attack an enemy from a short distance.,,,,,,,,,,,6,icon_war_bash,False,False,False,-1,-1,,,,Basic Attack,0,0,0,0.0,0.0,100.0,0.0,1.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}]",1,False,0,0.0,[6]
1525,Quest_Cannon,0,{#DD5500}{ol}[Physical]{/}{/}{nl}Attack an enemy from a short distance.,,,,,,,,,,,6,icon_war_bash,False,False,False,-1,-1,,,,Basic Attack,0,0,0,0.0,0.0,100.0,0.0,1.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}]",1,False,0,0.0,[6]
1530,Sadu_1,3,{#DD5500}{ol}[Physical]{/}{/}{nl}Basic Normal Attack,,,,,,,,,,,6,act_attack,False,False,False,-1,-1,,,,Attack,0,0,0,0.0,0.0,100.0,0.0,-1.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}]",1,False,0,0.0,[6]
1531,Catapract_1,5,{#DD5500}{ol}[Physical] - [Piercing]{/}{/}{nl}In development,"Attack +#{SkillFactor}#, AoE Attack Ratio: #{SkillSR}#{nl}Consumes #{SpendSP}# SP",,,,,"[""var sklFactor;"", """", ""if (skillOwner.ClassName == 'PC') {"", ""    var atkType = skill.AttackType;"", ""    var attribute = skill.Attribute;"", ""    var atkTypebyItem = GetSumOfEquipItem(skillOwner, atkType);"", ""    var attributebyItem = GetSumOfEquipItem(skillOwner, attribute);"", ""    sklFactor = skill.SklFactor + (skill.Level - 1) * skill.SklFactorByLevel + atkTypebyItem + attributebyItem;"", ""    return Math.floor(sklFactor);"", ""    } else {"", ""    sklFactor = skill.SklFactor + (skill.Level - 1) * skill.SklFactorByLevel;"", ""    return Math.floor(sklFactor);"", ""}"", """"]","[""var value = pc.SR + skill.SklSR;"", """", ""if (value < 1) {"", ""    value = 1"", ""}"", ""return value""]",,,"[""var basicSP = skill.BasicSP;"", ""var lv = skill.Level;"", ""var lvUpSpendSp = skill.LvUpSpendSp;"", ""var decsp = 0;"", """", ""if (basicSP == 0) {"", ""    return 0;"", ""}"", ""var abilAddSP = skill.SP;"", ""abilAddSP = abilAddSP / 100;"", ""var lvUpSpendSpRound = Math.floor((lvUpSpendSp * 10000) + 0.5)/10000;"", ""var value = basicSP + (lv - 1) * lvUpSpendSpRound;"", ""value = value + (value * abilAddSP);"", ""var zeminaLv = GetExProp(pc, \""ZEMINA_BUFF_LV\"");"", """", ""if (zeminaLv > 0) {"", ""    decsp = 4 + (zeminaLv * 4);"", ""}"", ""value = value - decsp;"", """", ""if (IsBuffApplied(pc, \""AcrobaticMount_Buff\"") == \""YES\"") {"", """", ""    if (TryGetProp(skill, \""EnableCompanion\"") == \""YES\"") {"", ""        var acrobaticBuff = GetBuffByName(pc, \""AcrobaticMount_Buff\"")"", ""        var acrobaticBuffLevel = GetBuffArg(acrobaticBuff)"", ""        var acrobaticAddSPRate = acrobaticBuffLevel * 0.1"", ""        value = value *(1 + acrobaticAddSPRate)"", ""        SetExProp(acrobaticBuff, \""ACROBATICMOUNT_SPENDSP\"", Math.floor(value))"", ""    }"", """", ""}"", """", ""if (value < 1) {"", ""    value = 1;"", ""}"", ""return Math.floor(value);""]",6,war_thrust,False,False,False,-1,-1,,,,Hoplite,0,0,0,0.0,0.0,100.0,0.0,3.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}]",1,False,6,2.0,"[6, 7]"
1532,Catapract_2,5,{#DD5500}{ol}[Physical] - [Piercing]{/}{/}{nl}In development,"Attack +#{SkillFactor}#, AoE Attack Ratio: #{SkillSR}#{nl}Consumes #{SpendSP}# SP",,,,,"[""var sklFactor;"", """", ""if (skillOwner.ClassName == 'PC') {"", ""    var atkType = skill.AttackType;"", ""    var attribute = skill.Attribute;"", ""    var atkTypebyItem = GetSumOfEquipItem(skillOwner, atkType);"", ""    var attributebyItem = GetSumOfEquipItem(skillOwner, attribute);"", ""    sklFactor = skill.SklFactor + (skill.Level - 1) * skill.SklFactorByLevel + atkTypebyItem + attributebyItem;"", ""    return Math.floor(sklFactor);"", ""    } else {"", ""    sklFactor = skill.SklFactor + (skill.Level - 1) * skill.SklFactorByLevel;"", ""    return Math.floor(sklFactor);"", ""}"", """"]","[""var value = pc.SR + skill.SklSR;"", """", ""if (value < 1) {"", ""    value = 1"", ""}"", ""return value""]",,,"[""var basicSP = skill.BasicSP;"", ""var lv = skill.Level;"", ""var lvUpSpendSp = skill.LvUpSpendSp;"", ""var decsp = 0;"", """", ""if (basicSP == 0) {"", ""    return 0;"", ""}"", ""var abilAddSP = skill.SP;"", ""abilAddSP = abilAddSP / 100;"", ""var lvUpSpendSpRound = Math.floor((lvUpSpendSp * 10000) + 0.5)/10000;"", ""var value = basicSP + (lv - 1) * lvUpSpendSpRound;"", ""value = value + (value * abilAddSP);"", ""var zeminaLv = GetExProp(pc, \""ZEMINA_BUFF_LV\"");"", """", ""if (zeminaLv > 0) {"", ""    decsp = 4 + (zeminaLv * 4);"", ""}"", ""value = value - decsp;"", """", ""if (IsBuffApplied(pc, \""AcrobaticMount_Buff\"") == \""YES\"") {"", """", ""    if (TryGetProp(skill, \""EnableCompanion\"") == \""YES\"") {"", ""        var acrobaticBuff = GetBuffByName(pc, \""AcrobaticMount_Buff\"")"", ""        var acrobaticBuffLevel = GetBuffArg(acrobaticBuff)"", ""        var acrobaticAddSPRate = acrobaticBuffLevel * 0.1"", ""        value = value *(1 + acrobaticAddSPRate)"", ""        SetExProp(acrobaticBuff, \""ACROBATICMOUNT_SPENDSP\"", Math.floor(value))"", ""    }"", """", ""}"", """", ""if (value < 1) {"", ""    value = 1;"", ""}"", ""return Math.floor(value);""]",6,war_thrust,False,False,False,-1,-1,,,,Hoplite,0,0,0,0.0,0.0,100.0,0.0,3.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}]",1,False,6,2.0,"[6, 7]"
1533,Catapract_3,5,{#DD5500}{ol}[Physical] - [Piercing]{/}{/}{nl}In development,"Attack +#{SkillFactor}#, AoE Attack Ratio: #{SkillSR}#{nl}Consumes #{SpendSP}# SP",,,,,"[""var sklFactor;"", """", ""if (skillOwner.ClassName == 'PC') {"", ""    var atkType = skill.AttackType;"", ""    var attribute = skill.Attribute;"", ""    var atkTypebyItem = GetSumOfEquipItem(skillOwner, atkType);"", ""    var attributebyItem = GetSumOfEquipItem(skillOwner, attribute);"", ""    sklFactor = skill.SklFactor + (skill.Level - 1) * skill.SklFactorByLevel + atkTypebyItem + attributebyItem;"", ""    return Math.floor(sklFactor);"", ""    } else {"", ""    sklFactor = skill.SklFactor + (skill.Level - 1) * skill.SklFactorByLevel;"", ""    return Math.floor(sklFactor);"", ""}"", """"]","[""var value = pc.SR + skill.SklSR;"", """", ""if (value < 1) {"", ""    value = 1"", ""}"", ""return value""]",,,"[""var basicSP = skill.BasicSP;"", ""var lv = skill.Level;"", ""var lvUpSpendSp = skill.LvUpSpendSp;"", ""var decsp = 0;"", """", ""if (basicSP == 0) {"", ""    return 0;"", ""}"", ""var abilAddSP = skill.SP;"", ""abilAddSP = abilAddSP / 100;"", ""var lvUpSpendSpRound = Math.floor((lvUpSpendSp * 10000) + 0.5)/10000;"", ""var value = basicSP + (lv - 1) * lvUpSpendSpRound;"", ""value = value + (value * abilAddSP);"", ""var zeminaLv = GetExProp(pc, \""ZEMINA_BUFF_LV\"");"", """", ""if (zeminaLv > 0) {"", ""    decsp = 4 + (zeminaLv * 4);"", ""}"", ""value = value - decsp;"", """", ""if (IsBuffApplied(pc, \""AcrobaticMount_Buff\"") == \""YES\"") {"", """", ""    if (TryGetProp(skill, \""EnableCompanion\"") == \""YES\"") {"", ""        var acrobaticBuff = GetBuffByName(pc, \""AcrobaticMount_Buff\"")"", ""        var acrobaticBuffLevel = GetBuffArg(acrobaticBuff)"", ""        var acrobaticAddSPRate = acrobaticBuffLevel * 0.1"", ""        value = value *(1 + acrobaticAddSPRate)"", ""        SetExProp(acrobaticBuff, \""ACROBATICMOUNT_SPENDSP\"", Math.floor(value))"", ""    }"", """", ""}"", """", ""if (value < 1) {"", ""    value = 1;"", ""}"", ""return Math.floor(value);""]",6,war_thrust,False,False,False,-1,-1,,,,Hoplite,0,0,0,0.0,0.0,100.0,0.0,3.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}]",1,False,6,2.0,"[6, 7]"
