$ID,$ID_NAME,CircleMax,Description,Icon,IsHidden,IsSecret,JobDifficulty,JobTree,JobType,Link_Attributes,Link_Skills,Name,Rank,Stat_CON,Stat_DEX,Stat_INT,Stat_SPR,Stat_STR
1014,Char1_14,1,"3차에 걸친 왕위계승분쟁 속에서 입궐시 귀족이 궁궐내에서 지닐 수 있는 무기에 대한 제한이 강화되었습니다. 펜서는 이런 상황에서 귀족가의 무예의 발전 방향을 제시하였으며, 계승전쟁 당시 검술로 하급 귀족에서 상급 귀족이 된 허턴 가문의 영향력이 큽니다. 오늘날에는 다른 가문과 펜서 검술 사범의 존재는 그저 명맥을 잇고 있는 정도입니다.{nl}펜서는 레이피어를 사용해 빠른 연타 공격을 구사하는 클래스입니다.",c_warrior_fencer,False,False,0,3,[0],"[112004, 112006, 112007, 112002, 112008, 112012, 112010]","[11103, 11105, 11107, 11101, 11106, 11108, 11110, 11111]",펜서,2,30,110,0,0,60
1015,Char1_15,1,"드라군은 히밀 가문이 샤펜스타에서 탈퇴할 때 처음 생겼습니다. 히밀 가문이 아닌 드라군들도 모두 히밀 가문에서 기술을 배우거나 연관이 있으며, 직접 연관이 없는 드라군도 따지고 보면 스승이나 아버지 혹은 조부 등이 히밀 가문에서 배운 사람이 확실합니다.  {nl}드라군은 창을 사용한 전투에 능숙한 정예의 전사입니다. 특히 양손창을 사용할 때 보너스를 획득합니다.",c_warrior_dragoon,False,False,2,3,[0],"[114001, 114003, 114005, 114008, 114011, 114014, 114015]","[11401, 11402, 11403, 11404, 11405, 11408, 11409, 11407]",드라군,2,60,40,0,0,100
1016,Char1_16,1,"템플러는 라엘 국왕 시대에 성직에서 분리되어 신전과 사원보다 왕명에 우선 따르게 되었습니다. 이후 2차 왕위계승전쟁에서 글리헬 국왕을 지지하여 등극을 도운 공적을 세웠습니다. 이런 유래로 몇 가지 단서 조항은 있으나 템플러는 다른 왕국군과 달리 인간에 대한 전투가 벌어질 경우 왕국법상 가장 강력한 권한을 위임 받은 군인이 됩니다.   {nl}템플러는 기사단 길드를 조직하고 통솔하는 지휘관 클래스입니다. 길드의 마스터는 템플러 클래스만 맡을 수 있으며, 길드의 성장 방향을 결정할 수 있습니다.",c_warrior_templar,False,False,0,3,[7],"[117001, 117004, 117005, 117006, 117007]","[11506, 11510, 11508, 11509, 11511, 11512, 11505, 11513]",템플러,2,65,70,0,0,65
1017,Char1_17,1,랜서는 주로 귀족 출신이며 왕국군의 주력이기도 합니다. 그러므로 상당수가 왕궁 주변에 주둔하였다가 신수의 날에 큰 피해를 입었습니다. 현재 랜서의 숫자는 모든 병과 중 가장 적다고 할 수 있습니다. {nl}랜서는 강력한 대인전 기술을 사용하는 기병 클래스입니다. 적의 마법진이나 구조물을 쉽게 돌파하는 위력을 갖고 있습니다.,c_warrior_lancer,False,False,2,3,[2],"[116001, 116002, 116006, 116007, 116008, 116018, 116009, 116014, 116013]","[11601, 11603, 11604, 11605, 11606, 11607, 11608, 11609]",랜서,2,55,45,0,0,100
1018,Char1_19,1,"최초의 마타도르 기술은 실제 전투에 필요한 사항과 관람객들에게 보여주기 위한 예능성을 포함하는 종합격투예술이었습니다. 그리고 300년의 시간이 흐르면서 마타도르의 기술 역시 변화를 겪게 됩니다. 그 중 가장 특기할 변화를 꼽자면 그 기술이 비단 마수를 상대하는 일뿐 아니라 결투에도 강력한 쪽으로 발전했다는 사실입니다. {nl}마타도르는 투우사로 적을 강력하게 도발하며 재빠른 몸놀림을 보여 순간적으로 적을 공격하고 빠지는 것에 능숙한 클래스입니다.{nl}오르샤에 있는 마타도르 게시판과 대화 후 에산치우 마을에 있는 리티스, 나글리스, 리나스와 대화한 다음 페디미안에 있는 마타도르 마스터를 만나세요.",c_warrior_matador,True,False,2,3,[6],"[118010, 118011, 118001, 118008, 118002, 118019, 118020, 118005, 118012, 118014, 118015]","[11701, 11702, 11703, 11704, 11705, 11706, 11707]",마타도르,2,60,50,0,0,90
1019,Char1_20,1,"{/}{/}{#7AE4FF}{ol}[2번째 전직부터 선택 가능]{/}{/}{nl}낙무아이의 등장은 최근의 사건입니다. 새로운 맨손 격투가의 등장으로 인기를 끈 투기장의 흥행은 뒤를 이은 불행한 사건과 함께 왕국 수도 투기장의 폐쇄를 불러왔습니다. 그럼에도 신수의 날로 모든 투기장이 문을 닫을 때까지 낙무아이의 투기장에서의 활약이 쇠퇴하지는 않았으며, 낙무아이 마스터도 언젠가는 다음 대로 이어지리라 추측됩니다.{nl}낙무아이는 무에타이 기술을 사용하는 근접 물리 공격 클래스로 힘에 영향을 받아 효과가 상승하거나 추가 효과가 발생하는것이 특징입니다.",c_warrior_nakmuay,True,True,0,3,[0],"[119001, 119002, 119003, 119004, 119005]","[11801, 11802, 11803, 11804, 11805, 11806]",낙무아이,2,40,100,0,0,60
1020,Char1_18,1,"레티아리이의 역사는 왕국의 검투역사에서 무르밀로 다음으로 깁니다. 최초의 검투 시합이 개최된 후 100년 정도 후에 발생하였으며, 오랜 기간 투기장의 주역으로 활약했습니다. 무르밀로의 투구 등의 복장이 변화된 유행도 실은 레티아리이의 발생과 연관이 있으며 상호 보완적입니다. {nl}레티아리이는 투망과 한손창, 단검으로 무장하고 전투하는 검투사 클래스입니다. 투망을 이용하여 상대를 포박하고 장비를 해제시켜 상대의 전투능력을 상실시키는 재주에 능합니다.{nl}테넌츠 농장에 있는 레티아리이 마스터를 만나세요.",c_warrior_retiarii,True,True,0,3,[0],"[120016, 120013, 120017, 120014, 120003, 120004, 120005, 120006, 120007, 120008, 120011, 120012]","[11901, 11902, 11903, 11904, 11905, 11906, 11908]",레티아리이,2,50,60,0,0,90
1021,Char1_21,1,"하카펠은 100인 이상이 모여 집단을 구성할 수 없도록 규정된 오래 된 왕국법이 있어서 소수 집단이나 개별적으로 활동하는 용병입니다. 최초에 왕국군의 기병병과에서 분리되어 나올 때 만들어진 규칙이지만, 아직 개정되지 않아 다른 용병 병과와 형평성 문제가 꾸준히 제기되고 있습니다. {nl}하카펠은 기동성이 높은 기병 클래스입니다. 다양한 연계 기술로 적들을 공격합니다.",c_archer_hackapell,False,False,1,3,[2],"[314001, 314003, 314009, 314013, 314015, 314007]","[12001, 12005, 12004, 12008, 12002, 12006, 12007]",하카펠,2,45,80,0,0,75
2001,Char2_1,1,위저드는 왕국 모든 마법사의 기초과정입니다. 심지어 아가일라 플러리가 모든 마법 마스터를 겸직하던 시절에도 실제로는 따로 사람을 두어 다른 일로 바쁜 자신 대신에 업무를 처리하게 했을 정도로 중요한 마법사이자 과정으로 간주됩니다.                                                                                                        {nl}위저드 계열은 넓은 범위나 많은 수의 적을 상대하는데 유리한 스킬을 많이 보유하고 있습니다. 몬스터를 소환해서 대신 싸우게 하거나 보조계열 마법으로 아군을 도울 수도 있습니다.,c_wizard_wizard,False,False,2,4,[0],"[10029, 201001, 201017, 201006, 201013, 201008, 201016]","[20001, 20002, 20004, 20005, 20007]",위저드,1,40,0,80,80,0
2002,Char2_2,1,"파이로맨서는 마법사이지만 대대로 신성마력법사로 인정받을 정도로 불의 여신 가비야와 밀접한 관련이 있습니다. 마법과 신성이 혼재하는 경우는 왕국밖에서는 흔한지만, 왕국에서는 흔치 않은 점을 고려하면 학문적으로나 실제 사용에 있어서와는 달리 문화적으로는 전적으로 왕국 내부에서 발생했음에도 파이로맨서는 이국적이라고 할 수 있습니다. {nl}불을 다루는 파이로맨서는 강력한 불 지속 마법을 사용하여 다수의 적을 제압합니다.",c_wizard_pyromancer,False,False,2,4,[0],"[202019, 202001, 202014, 202024, 202004, 202015, 202017, 202021, 202022, 202011, 202013, 202016, 207001]","[20101, 20102, 20103, 20107, 20105, 20106, 20109]",파이로맨서,2,50,0,90,60,0
2003,Char2_3,1,"대부분의 마법사는 마법의 여러 영역을 넘나들지만, 크리오맨서만을 고집하는 마법사도 있습니다. 이들은 자신들이 가장 왕국 마법의 전통을 잘 보존하고 있다고 생각합니다. {nl}얼음을 다루는 크리오맨서는 강력한 마법으로 적을 얼리거나 얼음 장벽으로 적을 가둬 동료를 보조합니다.",c_wizard_cryomancer,False,False,2,4,[0],"[203013, 203017, 203019, 203001, 203011, 203004, 203020, 203007, 203022, 203015, 203018, 203010, 203023, 203021]","[20201, 20202, 20203, 20204, 20205, 20207, 20208]",크리오맨서,2,70,0,70,60,0
2004,Char2_4,1,사이코키노는 엄밀히는 마법이 아니라 선천적인 초능력을 발휘하는 사람입니다. 비교적 최근인 오윈 딜벤에 이르러서야 선천적인 재능이 없는 사람도 사이코키노가 될 길이 열렸습니다. 물론 마법을 익히는 일이 불가능한 마법치에게는 이것도 불가능합니다. 그런 점에서 플러리의 제자인 제인의 꿈은 아직도 요원합니다.{nl}사이코 키노는 염동력을 사용하여 중력을 조작할 수도 있고 적을 끌어당기거나 던져버릴 수 있습니다. ,c_wizard_psychokino,False,False,2,4,"[0, 7]","[204004, 204017, 204007, 204011, 204015, 204010, 204012, 204018, 204019, 204020]","[20301, 20303, 20304, 20305, 20308, 20306, 20307]",사이코키노,2,55,0,95,50,0
2005,Char2_5,1,왕국 최초의 알케미스트는 윈터스푼가문의 초대 가주이며 지금까지도 윈터스푼 가문은 연금술계의 종주이자 주도 세력입니다. 연금술사의 원칙 역시 윈터스푼 가문에서 만들어져 널리 퍼지게 되었습니다.{nl}알케미스트는 연금술을 이용하여 젬을 강화하거나 아이템의 합성 또는 제작을 할 수 있습니다.,c_wizard_alchemist,False,False,2,4,[4],"[211001, 211004, 211005, 211006, 211008]","[21001, 21002, 21007, 21005, 21008, 21006, 21003, 21009, 21010]",알케미스트,2,55,0,65,80,0
2006,Char2_6,1,"소서러는 마족이 세계에 투영하는 영혼과 마성의 잔재를 붙잡아 그것을 강화하여 실체에 가까운 모습으로 세상에 구현하는 방식을 사용하며, 이는 마법학의 놀라운 성과에 해당합니다. 역사적으로 많은 소서러가 늙으면 부리던 마족의 투영체에게 피해를 입는 경우가 가끔 있어서 소서러들은 건강과 기력 유지에 큰 신경을 쓰는 편입니다. {nl}소서러는 악마를 소환하는 마법사입니다. 소환된 악마를 조종하거나 탑승하여 적을 상대합니다.",c_wizard_sorcerer,False,False,1,4,"[3, 0]","[208003, 208014, 208001, 208002, 208006, 208007, 208013, 208009, 208011, 208010, 208008]","[60, 61, 62, 20701, 20706, 20707, 20708, 20703, 20704, 20710, 20709]",소서러,2,20,0,70,110,0
2008,Char2_8,1,"크로노맨서는 아가일라 플러리가 창시한 마법학의 분야로 그녀의 사망 이후 마스터 자리는 공석이었다가 루시드 윈터스푼이 시간을 거슬러 올라가 플러리가 남긴 전승과 유물을 수습하여 맥을 잇게 되었습니다. 현재 상태로는 3대 마스터는 수 세기가 지나야 나올 것으로 보입니다. {nl}크로노맨서는 시간을 조작하는 마법사입니다. 시간을 빠르게 하거나 멈춰서 동료들을 도울 수도 있고, 이전의 상태로 시간을 되돌릴 수도 있습니다.",c_wizard_chronomancer,False,False,2,4,[7],"[209003, 209004, 209009]","[20802, 20803, 20804, 20809, 20806, 20808, 20807]",크로노맨서,2,55,0,70,75,0
2009,Char2_9,1,"아가일라 플러리가 마스터를 겸직한 이래 일부 소수가 비밀리에 행하던 인간의 육신과 영혼을 다루는 네크로맨시는 완전히 박멸되었으며, 몬스터만을 원천으로 사용하는 직업으로 확립되었습니다. {nl}네크로맨서는 사체를 이용한 마법을 사용하는 클래스입니다. 틈틈히 모아둔 사체로 적을 공격하거나 소환물을 만들어 낼 수 있습니다.",c_wizard_necromancer,False,False,2,4,"[3, 0]","[210016, 210001, 210008, 210006, 210011, 210003, 210005, 210010, 210017, 210009, 210002, 210004, 210013]","[60, 61, 62, 20901, 20902, 20904, 20909, 20906, 20908, 20903, 20911, 20912]",네크로맨서,2,30,0,60,110,0
2011,Char2_11,1,"엘레멘탈리스트는 만물의 근원물질이 여신의 권능으로 조절되어 세상에 작용하는 방식을 이해하고자 노력하며 그러한 이해를 바탕으로 그 힘을 적용하고 이용하려는 사람들입니다. 근원물질의 첫 발현 상태이자 이용하기 쉬운 형태인 4원소를 중요시하며, 천상의 권능이 만물을 다루는 순리를 좇는 가운데 위력을 보이도록 정진하고 있습니다. {nl}엘리멘탈리스트는 원소의 힘을 다루는 마법사입니다. 강력한 공격 마법을 갖고 있지만 기술을 재사용하기까지 시간이 필요하므로 동료와의 협력이 중요합니다.",c_wizard_elementalist,False,False,2,4,[0],"[207017, 207018, 207019, 207007, 207013, 207004, 207015, 207010, 207028, 207025, 207026, 207027]","[20601, 20603, 20609, 20610, 20611, 20602, 20605]",엘리멘탈리스트,2,20,0,100,80,0
2012,Char2_12,1,미믹,c_wizard_thaumaturge,False,False,,4,,,,미믹,200,3,4,8,7,3
2014,Char2_14,1,"독서가들이 노년에 발현하는 마법적 능력을 심화시킨 마법의 분파인 세이지는 그 성격상 학자이거나 관직과 마법을 병행하는 인물이 되며, 대부분 후자에 속하는 인물이 많습니다. 후자의 대부분은 또한 왕궁 근무경력이 있다는 점에서신수의 영향력을 장기간에 걸쳐 받은 지성이 마력으로 발현한다고 추측되고 있습니다. {nl}세이지는 지식을 통해 세계의 원리를 깨우쳐 공간을 조작할 수 있게 된 마법사 클래스입니다. 차원을 조작하는 마법을 사용하거나 포탈을 이용해 자신이 아는 곳으로 이동할 수 있습니다.",c_wizard_sage,False,False,2,4,"[0, 7]","[216001, 216016, 216017, 216002, 216008, 216011, 216003, 216009, 216012, 216005, 216014, 216013, 216010, 216015]","[21401, 21403, 21404, 21405, 21408, 21409, 21410, 21411]",세이지,2,30,0,100,70,0
2015,Char2_15,1,"일반인은 워록이 악마의 힘을 사용한다는 오해를 합니다. 그러나 워록 역시 여신의 가호 아래 있으며, 다 자란 자녀가 부모에게 의지하지 않듯이 여신에게 부담을 줘선 안 된다고 워록은 생각합니다. 이런 독립심과 정신력으로 마력을 통제하기에 부정적으로 보이기 쉬우며, 더구나 통제 대상이 암흑의 힘이니 편견이 생기는 일은 충분히 이해가 갑니다. {nl}워록은 악령의 힘을 사용하는 마법사입니다. 적을 처치해 악령을 소환하거나 조종할 수 있습니다.",c_wizard_warlock,False,False,1,4,[0],"[212014, 212007, 212008, 212018, 212002, 212009, 212010, 212013, 212015]","[21202, 21203, 21205, 21207, 21201, 21204, 21208]",워록,2,20,0,110,70,0
2016,Char2_16,1,마법과 신학이 분화되고 전문화된 왕국과 달리 왕국 밖의 사회에서는 대개 두 가지는 주술적인 형태로 하나로 묶여 있으며 이것은 페더풋도 마찬가지입니다. 왕국은 신수의 날의 영향받은 사회에서 파견된 주술사를 너그럽게 사제 혹은 마법마스터로 인정하고 이들이 왕국을 돕고 그들 사회에 필요한 것을 얻을 수 있도록 허가하고 있습니다. {nl}페더풋은 주술적인 힘을 사용하는 마법사입니다. 적의 생명 에너지를 흡수하거나 적을 저주하여 동료를 돕습니다.,c_wizard_featherfoot,False,False,2,4,[0],"[213010, 213003, 213004, 213005, 213007, 213014, 213011, 213017, 213018, 213020]","[21101, 21102, 21103, 21104, 21105, 21106, 21107, 21109]",페더풋,2,60,0,70,70,0
2017,Char2_17,1,"{/}{/}{#7AE4FF}{ol}[2번째 전직부터 선택 가능]{/}{/}{nl}룬캐스터들이 샤울레이나 오르샤 지방에서 활동하는 일은 많지 않았습니다. 그러나 천년제 이후 여러 룬캐스터들이 왕국 곳곳에 퍼져 정착하기 시작하였으며 현재는 마스터도 남하해 와있습니다. 다만 그럼에도 룬캐스터 본류는 여전히 왕국 북부에 있습니다.{nl}룬캐스터는 마력이 담긴 고대의 문자를 사용하는 마법사입니다. 문자의 힘을 끌어내는 데는 시간이 걸리지만, 그 위력은 매우 강력합니다.",c_wizard_runecaster,True,True,2,4,[0],"[214001, 214003, 214005, 214009, 214012, 214010, 214011]","[21302, 21303, 21304, 21305, 21301, 21306]",룬캐스터,2,55,0,85,60,0
2019,Char2_19,1,섀도우맨서는 소서러가 마족의 투영체를 우리 세계 현실에 구현하는 일에서 영감을 얻어 시작된 마법의 한 분야로 계속적으로 발전하는 분야입니다. 최근 연구중인 일월식의 그림자를 이용하는 방식이 성공한다면 역사상 유례가 없는 대규모 광역 마법의 출현도 가능합니다. {nl}섀도우맨서는 그림자를 이용하여 적에게 강력한 공격을 하거나 숨어 생존하는 마법사 클래스 입니다.{nl}타니엘 1세 기념구의 도서관 별관 지붕에 나타나는 그림자에 말을 걸면 시작됩니다.,c_wizard_shadowmancer,True,False,2,4,[0],"[217001, 217004, 217002, 217005, 217003, 217010, 217009]","[21601, 21602, 21603, 21604, 21605, 21606, 21613]",섀도우맨서,2,40,0,110,50,0
2020,Char2_20,1,음양사는 약 90년 전 왕국 외부에서 건너와 천년제에 참여한 이래 50년간 왕실에 봉사하다가 약 40년전 왕실에 종속된 관계를 청산하였습니다. 물론 여전히 왕국 안에서 의무를 다하지만 다른 성직자나 마법사 등과 같은 독립성을 얻은 것입니다. {nl}음양사는 식신령을 소환하고 음양오행에 관련된 마법을 사용하는 클래스 입니다. 다수의 적을 효과적으로 상대할 수 있습니다.{nl}클라페다의 기사단장 우스카에게 초조해 보인다며 말을 걸면 시작됩니다.,c_wizard_onmyoji,True,False,1,4,[0],"[218001, 218003, 218004, 218005, 218006, 218007, 218008, 218009, 218012, 218013, 218015, 218019, 218020]","[21607, 21608, 21609, 21610, 21611, 21612, 21614]",음양사,2,40,0,95,65,0
2021,Char2_21,1,도사는 인간의 수양이 잠재된 신성을 발현시킨다는 사상이며 이를 거듭할수록 인간이 여신과 더 가까워지는 성화의 과정을 밟을 수 있다고 생각합니다. 도사의 본향에서는 이를 교철의 교리라하며 왕국도 이를 인정하여 도사를 성직의 한 부류로 승인하였습니다. 다만 이들의 본향에서는 성직자와 마법사가 명확히 구별되지 않습니다. {nl}도사 클래스는 도술의 힘을 사용합니다. 부적을 이용해 적을 공격하거나 동료들을 도울 수 있습니다.,c_cleric_daoshi,False,False,1,4,"[0, 7]","[416009, 416011, 416014, 416013, 416015, 416016, 416017, 416018, 416019]","[21803, 21802, 21805, 21809, 21804, 21806, 21807, 21808]",도사,2,50,0,70,80,0
2022,Char2_22,1,보코르는 개인과 그 고단한 운명 사이에 선 중개업자라는 신조를 지닙니다. 따라서 보코르는 신관이자 마법사입니다. 약 900년전 멜키엘 시대에 왕국에 복속되어 왕국에 완전히 동화된 부족사회에서 기원하여서 이제는 왕국민도 보코르가 원래는 이방신앙과 마법이었다는 사실을 잊었으며 적어도 왕국에서는 마법사보다 신관으로서의 위상이 더 큽니다. {nl}부두술을 사용하는 보코르는 죽은 사체를 되살려 좀비로 만들거나 적에게 저주를 걸어 멀리서 괴롭힐 수 있습니다.,c_cleric_bokor,False,False,1,4,"[3, 0]","[404015, 404001, 404010, 404008, 404009, 404005, 404013, 404007, 404012]","[60, 61, 62, 21701, 21702, 21703, 21704, 21705, 21706, 21707, 21708]",보코르,2,40,0,70,90,0
3001,Char3_1,1,아처 분야는 민간인과 왕국군 그리고 샤펜스타 단원이 혼재되어 있습니다. 쉽게 접근하나 완벽히 익히기는 어려운 클래스이지만 오랜 역사에 걸쳐 지원자와 익히는 사람의 수는 줄어들지 않았습니다. {nl}아처 계열은 기본 공격 중 이동이 가능하며 기본 이동 속도가 다른 계열보다 빠르기 때문에 긴 사거리를 이용하여 안전한 장소에서 전투를 할 수 있습니다.,c_archer_archer,False,False,1,0,[0],"[301001, 301008, 301024, 301012, 301025]","[30001, 30005, 30004, 30007, 30008]",아처,1,50,75,0,0,75
3002,Char3_2,1,야수를 길들여 야수를 사냥하는 방식은 유구한 역사를 자랑하며 처음에는 사냥견에서 출발하여 지금은 다양한 몬스터를 활용하는데 이르렀습니다. 헌터 마스터는 사냥에 사용하는 무기와 사냥에 동반하는 야수에 관해 모두 잘 알아야 하는 클래스로서 전문성이 높습니다. {nl}헌터는 컴패니언에게 명령을 내려 적을 사냥하는 조련 클래스입니다. 목표물을 물고 늘어지거나 숨어있는 적을 찾아내는 등 주인과 협력하여 사냥하는 기술을 사용합니다.,c_archer_hunter,False,False,1,0,"[7, 8]","[10019, 10020, 305008, 305010, 305011, 305002, 305012, 305013]","[30401, 30403, 30406, 30404, 30408, 30409, 30407]",헌터,2,80,30,0,0,90
3003,Char3_3,1,"쿼렐슈터는 성실한 노력가에게 어울리는 클래스입니다. 활이란 원래 손질을 자주 해야하는 무기지만 왕국 쿼렐슈터의 무기는 더욱 그렇기 때문입니다. 그래서 역대로 쿼렐슈터로 성공한 사람치고 게으른 사람이 없다는 평이 돌아다닙니다. {nl}방패와 쇠뇌를 사용하는 쿼렐슈터는 엄폐물을 사용하여 전략적인 플레이를 하는 클래스로, 적의 원거리 공격을 방어하는 동시에 쇠뇌 기술로 접근하는 적을 처리할 수 있습니다.",c_archer_quarrelshooter,False,False,2,0,[5],"[303019, 303001, 303004, 303007, 301007, 303009, 303020]","[30201, 30202, 30204, 30205, 30208, 30206, 30209]",쿼렐슈터,2,100,50,0,0,50
