$ID,$ID_NAME,Description,Icon,IconTooltip,Link_Collections,Link_Cubes,Link_Maps,Link_Maps_Exploration,Link_Monster,Link_Monsters,Link_RecipeMaterial,Link_RecipeTarget,MonsterElement,MonsterRace,Name,Price,Stat_Height,Stat_Legs,Stat_Weight,TimeCoolDown,TimeLifeTime,Tradability,Type,TypeCard,Weight
644031,card_Moyabruka,[Card Equip Effect] Increases damage against Leather-wearing enemies by [{img star_mark 20 20}/2]%,icon_item_card_atk,115_boss_moyabruka,[642012],,,,47325,"[{""Chance"": 0.13, ""Monster"": 47386, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}]",,,1,0,Moyabruka Card,500,200,4,1288,0.0,0.0,TTTT,4,0,1.0
644032,card_Moldyhorn,[Card Equip Effect] Increases damage against petrified enemies by [{img star_mark 20 20}]%,icon_item_card_atk,109_boss_moldyhorn,[642012],,,,47323,,,,7,0,Moldyhorn Card,500,307,2,421,0.0,0.0,TTTT,4,0,1.0
644033,card_molich,[Card Equip Effect] Block +[{img star_mark 20 20}*2],icon_item_card_util,021_boss_glass_mole,[642012],"[642908, 642915, 642923]",,,400421,,,,0,0,Molich Card,500,540,2,2075,0.0,0.0,TTTT,4,5,1.0
644034,card_Minotaurs,"[Card Equip Effect] DEX +[{img star_mark 20 20}/2], SPR +[{img star_mark 20 20}/2] ",icon_item_card_stat,090_boss_minotaurs,,,,,800004,,,,2,1,Minotaur Card,500,242,2,560,0.0,0.0,TTTT,4,4,1.0
644035,card_mirtis,[Card Equip Effect] Increases damage against Small-sized targets by [{img star_mark 20 20}/2]%,icon_item_card_atk,007_boss_mirtis,,,,,800048,,,,0,1,Mirtis Card,500,346,2,192,0.0,0.0,TTTT,4,0,1.0
644036,card_bebraspion,[Card Equip Effect] Attack Speed +[{img star_mark 20 20}] when equipping two-handed weapons,icon_item_card_util,005_boss_bebraspion,,,,,41222,"[{""Chance"": 0.13, ""Monster"": 47366, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}]",,,5,0,Bebraspion Card,500,345,2,860,0.0,0.0,TTTT,4,5,1.0
644037,card_bearkaras,[Card Equip Effect] Increases damage against Earth property monsters by [{img star_mark 20 20}]%,icon_item_card_atk,031_boss_bearkaras,,,,,401141,,,,1,0,Bearkaras Card,500,359,2,3123,0.0,0.0,TTTT,4,0,1.0
644038,card_Velorchard,[Card Equip Effect] Evasion +[{img star_mark 20 20}*2],icon_item_card_util,126_boss_velorchard,,,,,800049,,,,5,1,Velorchard Card,500,185,3,160,0.0,0.0,TTTT,4,5,1.0
644039,card_Goblin_Warrior,[Card Equip Effect] Increases damage against Beast-type monsters by [{img star_mark 20 20}]%,icon_item_card_atk,004_boss_goblin_warrior,,,,,400201,,,,1,0,Vubbe Fighter Card,500,240,2,356,0.0,0.0,TTTT,4,0,1.0
644040,card_Goblin_Warrior_red,[Card Equip Effect] Physical Attack +[{img star_mark 20 20}*7] when equipping Strike weapons,icon_item_card_atk,128_boss_goblin_warrior_red,,,,,400203,,,,2,0,Red Vubbe Fighter Card,500,255,2,390,0.0,0.0,TTTT,4,0,1.0
644041,card_bramble,[Card Equip Effect] Earth Property Resistance +[{img star_mark 20 20}*10],icon_item_card_def,019_boss_bramble,,,,,400901,,,,0,5,Bramble Card,500,545,2,1350,0.0,0.0,TTTT,4,1,1.0
644042,card_BiteRegina,[Card Equip Effect] [{img star_mark 20 20}/3]% chance per attack dealt of poisoning an enemy for 6 sec,icon_item_card_util,022_boss_biteregina,[642011],,,,800050,"[{""Chance"": 0.2, ""Monster"": 57141, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}]",,,7,2,Biteregina Card,500,210,6,180,0.0,0.0,TTTT,4,5,1.0
644043,card_Strongholder,[Card Equip Effect] Stamina +[{img star_mark 20 20}],icon_item_card_util,082_boss_strongholder,[642011],,,,800005,"[{""Chance"": 0.13, ""Monster"": 47358, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}]",,,0,1,Cyclops Card,500,251,2,456,0.0,0.0,TTTT,4,5,1.0
644044,card_Saltistter,[Card Equip Effect] Ice Property Resistance +[{img star_mark 20 20}*10],icon_item_card_def,085_boss_saltistter,,,,,41207,,,,4,0,Saltistter Card,500,300,2,685,0.0,0.0,TTTT,4,1,1.0
644045,card_salamander,[Card Equip Effect] [{img star_mark 20 20}]% chance of recovering 5% SP after defeating Fire property monsters,icon_item_card_util,054_boss_salamander,[642014],,,,41205,,,,2,0,Salamander Card,500,202,4,524,0.0,0.0,TTTT,4,5,1.0
644046,card_ShadowGaoler,[Card Equip Effect] Silence Resistance +[{img star_mark 20 20} * 2],icon_item_card_util,093_boss_shadowgaoler,,"[642901, 642918, 642940]",,,800006,"[{""Chance"": 10.0, ""Monster"": 47360, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}]",,,0,1,Shadowgaler Card,500,290,1,161,0.0,0.0,TTTT,4,5,1.0
644047,card_stone_whale,[Card Equip Effect] [{img star_mark 20 20}/3]% per attack dealt of reducing damage received by 10% for 5 seconds,icon_item_card_util,075_boss_stone_whale,,,,,41209,"[{""Chance"": 10.0, ""Monster"": 57143, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}]",,,1,4,Stone Whale Card,500,226,1,5288,0.0,0.0,TTTT,4,5,1.0
644048,card_Shnayim,[Card Equip Effect] Lightning Property Resistance +[{img star_mark 20 20}*10],icon_item_card_def,033_boss_shnayim,[642013],,,,41241,,,,5,4,Shnayim Card,500,270,2,3100,0.0,0.0,TTTT,4,1,1.0
644049,card_Confinedion,[Card Equip Effect] Pierce Defense +[{img star_mark 20 20}*10],icon_item_card_def,096_boss_confinedion,,,,,41379,,,,7,0,Scorpio Card,500,355,8,644,0.0,0.0,TTTT,4,1,1.0
644050,card_Spector_m,[Card Equip Effect] [{img star_mark 20 20}]% chance of recovering 5% SP after defeating Dark property monsters,icon_item_card_util,008_boss_spector_m,,,,,800007,,,,0,1,Specter Monarch Card,500,210,2,45,0.0,0.0,TTTT,4,5,1.0
644051,card_Throneweaver,[Card Equip Effect] [{img star_mark 20 20}]% chance of recovering 5% SP after defeating Poison property monsters,icon_item_card_util,041_boss_throneweaver,,,,,800009,"[{""Chance"": 10.0, ""Monster"": 57384, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Chance"": 10.0, ""Monster"": 47365, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}]",,,7,1,Throneweaver Card,500,352,6,375,0.0,0.0,TTTT,4,5,1.0
644052,card_Ironbaum,[Card Equip Effect] Increases damage against sleeping enemies by [{img star_mark 20 20}]%,icon_item_card_atk,060_boss_ironbaum,,,,,41354,"[{""Chance"": 10.0, ""Monster"": 57390, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}]",,,2,4,Ironbaum Card,500,230,2,2108,0.0,0.0,TTTT,4,0,1.0
644053,card_archon,[Card Equip Effect] Increases damage against Fire property monsters by [{img star_mark 20 20}]%,icon_item_card_atk,095_boss_archon,[642013],,,,800027,"[{""Chance"": 0.13, ""Monster"": 47370, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}]",,,2,4,Archon Card,500,406,2,960,0.0,0.0,TTTT,4,0,1.0
644054,card_Abomination,"[Card Equip Effect] DEX +[{img star_mark 20 20}/2], CON +[{img star_mark 20 20}/2] ",icon_item_card_stat,038_boss_abomination,,,,,800029,,,,0,1,Abomination Card,500,420,2,1255,0.0,0.0,TTTT,4,4,1.0
644055,card_Unknocker,"[Card Equip Effect] SPR +[{img star_mark 20 20}/2], CON +[{img star_mark 20 20}/2]",icon_item_card_stat,040_boss_unknocker,,,,,800010,,,,0,1,Unknocker Card,500,383,2,782,0.0,0.0,TTTT,4,4,1.0
644056,card_Achat,[Card Equip Effect] Increases damage against Lightning property monsters by [{img star_mark 20 20}]%,icon_item_card_atk,032_boss_achat,,,,,41240,,,,5,4,Achat Card,500,220,2,2403,0.0,0.0,TTTT,4,0,1.0
644057,card_ellaganos,[Card Equip Effect] DEX +[{img star_mark 20 20}],icon_item_card_stat,037_boss_ellaganos,,,,,800013,,,,0,1,Ellaganos Card,500,392,6,1060,0.0,0.0,TTTT,4,4,1.0
644058,card_yekub,[Card Equip Effect] Add. Holy Property Damage +[{img star_mark 20 20}*10],icon_item_card_util,011_boss_yekub,,,,,41234,,,,4,0,Yekub Card,500,340,8,316,0.0,0.0,TTTT,4,5,1.0
644059,card_yonazolem,[Card Equip Effect] Holy Property Resistance +[{img star_mark 20 20}*10],icon_item_card_def,055_boss_yonazolem,[642014],,,,41211,"[{""Chance"": 0.0, ""Monster"": 41211, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Chance"": 0.13, ""Monster"": 47364, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}]",,,1,4,Yonazolem Card,500,410,2,3170,0.0,0.0,TTTT,4,1,1.0
644061,card_werewolf,[Card Equip Effect] [{img star_mark 20 20}]% chance of attacks being registered as rear attacks,icon_item_card_util,070_boss_werewolf,,,,,41247,"[{""Chance"": 10.0, ""Monster"": 47415, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}]",,,0,0,Werewolf Card,500,378,2,982,0.0,0.0,TTTT,4,5,1.0
644062,card_unicorn,[Card Equip Effect] Increases damage against Dark property monsters by [{img star_mark 20 20}]%,icon_item_card_atk,050_unicorn,,,,,800051,,,,0,1,Unicorn Card,500,329,4,460,0.0,0.0,TTTT,4,0,1.0
644063,card_Iltiswort,[Card Equip Effect] Increases damage against Plant-type monsters by [{img star_mark 20 20}]%,icon_item_card_atk,017_boss_iltiswort,[642013],,,,41214,,,,7,5,Iltiswort Card,500,308,1,512,0.0,0.0,TTTT,4,0,1.0
644064,card_GiantWoodGoblin_red,[Card Equip Effect] Increases damage against Cloth-wearing enemies by [{img star_mark 20 20}/2]%,icon_item_card_atk,062_boss_giantwoodgoblin_red,,,,,41215,,,,2,5,Giant Red Wood Goblin Card,500,551,2,1429,0.0,0.0,TTTT,4,0,1.0
644065,card_GiantWoodGoblin,[Card Equip Effect] Increases damage against stunned enemies by [{img star_mark 20 20}]%,icon_item_card_atk,061_boss_giantwoodgoblin,,,,,41386,,,,7,5,Giant Wood Goblin Card,500,552,2,1428,0.0,0.0,TTTT,4,0,1.0
644067,card_Chapparition,[Card Equip Effect] Magic Damage +[{img star_mark 20 20}]% for 6 seconds after using any type of SP potion,icon_item_card_atk,068_boss_chapparition,[642011],,,,800011,,"[13026, 13028, 30122, 33029]",,0,1,Chapparition Card,500,254,1,108,0.0,0.0,TTTT,4,0,1.0
644068,card_chafer,[Card Equip Effect] Increases damage against Insect-type monsters by [{img star_mark 20 20}]%,icon_item_card_atk,023_boss_chafer,[642012],,,,800052,,,,7,2,Chafer Card,500,235,2,217,0.0,0.0,TTTT,4,0,1.0
644070,card_Carapace,[Card Equip Effect] [{img star_mark 20 20}]% chance of recovering 5% SP after defeating Ice property monsters,icon_item_card_util,098_boss_carapace,,,,,800053,"[{""Chance"": 10.0, ""Monster"": 47357, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}]",,,4,2,Carapace Card,500,240,6,338,0.0,0.0,TTTT,4,5,1.0
644072,card_onion_the_great,[Card Equip Effect] Increases damage against Large-sized targets by [{img star_mark 20 20}/2]%,icon_item_card_atk,058_boss_onion_the_great,,,,,41201,,,,0,4,Kepa Chieftain Card,500,465,2,680,0.0,0.0,TTTT,4,0,1.0
644073,card_Colimencia,[Card Equip Effect] Poison Property Resistance +[{img star_mark 20 20}*10],icon_item_card_def,101_boss_colimencia,,,,,47318,,,,4,5,Colimencia Card,500,340,6,386,0.0,0.0,TTTT,4,1,1.0
644074,card_Clymen,[Card Equip Effect] Increases damage against Poison property monsters by [{img star_mark 20 20}]%,icon_item_card_atk,117_boss_clymen,,,,,47316,"[{""Chance"": 0.2, ""Monster"": 47381, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}]",,,7,5,Clymen Card,500,364,2,314,0.0,0.0,TTTT,4,0,1.0
644075,card_Kimeleech,[Card Equip Effect] Block Penetration +[{img star_mark 20 20}*1.5],icon_item_card_util,048_boss_kimeleech,,,,,800054,"[{""Chance"": 10.0, ""Monster"": 47368, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}]",,,7,2,Kirmeleech Card,500,246,14,780,0.0,0.0,TTTT,4,5,1.0
644076,card_tutu,[Card Equip Effect] Carry Weight +[{img star_mark 20 20}]%,icon_item_card_util,076_boss_tutu,,,,,57161,,,,7,0,Tutu Card,500,230,4,1168,0.0,0.0,TTTT,4,5,1.0
644077,card_TombLord,[Card Equip Effect] Increases damage against Boss monsters by [{img star_mark 20 20}/2]%,icon_item_card_atk,034_boss_tomblord,,,,,800055,,,,0,1,Tomb Lord Card,500,201,2,180,0.0,0.0,TTTT,4,0,1.0
644078,card_poata,[Card Equip Effect] HP Recovery +[{img star_mark 20 20}*30],icon_item_card_util,001_boss_poata,,,,,41202,"[{""Chance"": 10.0, ""Monster"": 47352, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}]",,,7,0,Poata Card,500,310,2,427,0.0,0.0,TTTT,4,5,1.0
644079,card_Sequoia_blue,"[Card Equip Effect] Physical Defense +[{img star_mark 20 20}*5], Magic Defense +[{img star_mark 20 20}*5]",icon_item_card_def,015_boss_sequoia,,,,,401661,"[{""Chance"": 10.0, ""Monster"": 47359, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}]",,,2,5,Sequoia Card,500,356,2,866,0.0,0.0,TTTT,4,1,1.0
644080,card_Harpeia,[Card Equip Effect] [{img star_mark 20 20}]% chance of recovering 5% SP after defeating Lightning property monsters,icon_item_card_util,107_boss_harpeia,,"[642905, 642921]",,,800012,,,,5,1,Harpeia Card,500,230,2,197,0.0,0.0,TTTT,4,5,1.0
644081,card_honeypin,[Card Equip Effect] Add. Poison Property Damage +[{img star_mark 20 20}*10],icon_item_card_util,047_boss_honeypin,,,,,800056,,,,7,2,Honeypin Card,500,218,6,240,0.0,0.0,TTTT,4,5,1.0
644082,card_helgasercle,[Card Equip Effect] Magic Attack +[{img star_mark 20 20}*5],icon_item_card_atk,053_boss_helgasercle,,,,,800057,,,,0,1,Helgasercle Card,500,298,1,142,0.0,0.0,TTTT,4,0,1.0
644083,card_Spector_F,[Card Equip Effect] Maximum SP +[{img star_mark 20 20}*30],icon_item_card_util,009_boss_spector_f,,,,,800080,,,,0,1,Specter of Deceit Card,500,162,1,45,0.0,0.0,TTTT,4,5,1.0
644084,card_hydra,[Card Equip Effect] Increases damage against frozen enemies by [{img star_mark 20 20}]%,icon_item_card_atk,099_boss_hydra,,,,,47313,,,,4,4,Hydra Card,500,353,4,1624,0.0,0.0,TTTT,4,0,1.0
644085,card_rajapearl,[Card Equip Effect] [{img star_mark 20 20}/3]% chance per attack dealt of bleeding an enemy for 6 sec,icon_item_card_util,078_boss_rajapearl,,,,,41243,,,,4,0,Rajapearl Card,500,160,1,908,0.0,0.0,TTTT,4,5,1.0
644087,card_fallen_statue,[Card Equip Effect] Increases damage against Stationary-type monsters by [{img star_mark 20 20}]%,icon_item_card_atk,013_boss_fallen_statue,,,,,800071,,,,0,1,Corrupted Card,500,213,2,240,0.0,0.0,TTTT,4,0,1.0
644088,card_lepus,[Card Equip Effect] Attack Speed +[{img star_mark 20 20}] when equipping one-handed weapons,icon_item_card_util,084_boss_lepus,,,,,41216,,,,1,0,Lepus Card,500,375,2,686,0.0,0.0,TTTT,4,5,1.0
644089,card_sparnas,[Card Equip Effect] Physical Attack +[{img star_mark 20 20}*7] when equipping Missile weapons,icon_item_card_atk,006_boss_sparnas,,,,,41224,,,,5,0,Sparnas Card,500,185,2,206,0.0,0.0,TTTT,4,0,1.0
644092,card_Sparnanman,[Card Equip Effect] Dark Property Resistance +[{img star_mark 20 20}*10],icon_item_card_def,035_boss_sparnanman,,,,,800008,,,,0,1,Sparnasman Card,500,315,2,412,0.0,0.0,TTTT,4,1,1.0
644093,card_Kerberos,[Card Equip Effect] [{img star_mark 20 20}]% chance of recovering 1% SP when attacked by Large-sized monsters{nl}Cooldown 5 sec,icon_item_card_util,094_boss_kerberos,[642013],[642903],,,800028,,,,2,1,Cerberus Card,500,207,4,460,0.0,0.0,TTTT,4,5,1.0
644094,card_capria,[Card Equip Effect] Sleep Resistance +[{img star_mark 20 20} * 2],icon_item_card_util,131_boss_capria,,,,,57210,,,,7,0,Capria Card,500,214,2,189,0.0,0.0,TTTT,4,5,1.0
644095,card_Nepenthes,"[Card Equip Effect] Maximum HP +[{img star_mark 20 20}*90], Maximum SP +[{img star_mark 20 20}*15]",icon_item_card_util,135_boss_nepenthes,,,,,57015,,,,1,5,Nepenthes Card,500,194,2,174,0.0,0.0,TTTT,4,5,1.0
644096,card_simorph,"[Card Equip Effect] STR +[{img star_mark 20 20}/2], CON +[{img star_mark 20 20}/2]",icon_item_card_stat,133_boss_simorph,,,,,57151,,,,1,5,Simorph Card,500,141,2,60,0.0,0.0,TTTT,4,4,1.0
644098,card_Golem_gray,[Card Equip Effect] Physical Defense +[{img star_mark 20 20}*10],icon_item_card_def,134_boss_graygolem,,,,,450222,"[{""Chance"": 10.0, ""Monster"": 47353, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}]",,,1,4,Gray Golem Card,500,213,2,6193,0.0,0.0,TTTT,4,1,1.0
644099,card_Naktis,[Card Equip Effect] Accuracy +[{img star_mark 20 20}*1.5],icon_item_card_util,066_boss_naktis,,,,,800058,,,,0,1,Naktis Card,500,344,2,128,0.0,0.0,TTTT,4,5,1.0
644100,card_RingCrawler,[Card Equip Effect] SPR +[{img star_mark 20 20}],icon_item_card_stat,067_boss_ringcrawler,,,,,41232,,,,5,4,Linkroller Card,500,382,1,372,0.0,0.0,TTTT,4,4,1.0
644101,card_Durahan,[Card Equip Effect] [{img star_mark 20 20}]% chance of resurrecting with 10% HP after becoming incapable of combat  ,icon_item_card_util,071_durahan,,,,,800014,,,,0,1,Dullahan Card,500,245,6,482,0.0,0.0,TTTT,4,5,1.0
644102,card_Riteris,[Card Equip Effect] Blind Resistance +[{img star_mark 20 20} * 2],icon_item_card_util,073_riteris,,"[642909, 642915, 642923]",,,800015,,,,0,1,Riteris Card,500,221,2,308,0.0,0.0,TTTT,4,5,1.0
644103,card_Nuaele,[Card Equip Effect] Magic Defense +[{img star_mark 20 20}]%,icon_item_card_def,074_nuaele,,,,,800016,,,,0,1,Nuaele Card,500,186,1,91,0.0,0.0,TTTT,4,1,1.0
644104,card_Neop,[Card Equip Effect] HP Potion Effects +[{img star_mark 20 20}]%,icon_item_card_util,113_neop,,,,,800059,,,,7,2,Neop Card,500,368,2,912,0.0,0.0,TTTT,4,5,1.0
644105,card_Blud,[Card Equip Effect] CON +[{img star_mark 20 20}],icon_item_card_stat,112_blud,,,,,800060,,,,0,1,Blut Card,500,432,4,1677,0.0,0.0,TTTT,4,4,1.0
644106,card_Glackuman,[Card Equip Effect] Slash Defense +[{img star_mark 20 20}*10],icon_item_card_def,116_glackuman,,,,,800022,,,,6,4,Glackuman Card,500,382,2,1954,0.0,0.0,TTTT,4,1,1.0
644108,card_Tetraox,[Card Equip Effect] Bleed Resistance +[{img star_mark 20 20} * 2],icon_item_card_util,127_tetraox,,,,,57421,,,,1,0,Tetraox Card,500,190,4,1260,0.0,0.0,TTTT,4,5,1.0
644109,card_basilisk,[Card Equip Effect] Critical Resistance +[{img star_mark 20 20}*2],icon_item_card_util,122_basilisk,,,,,800061,,,,5,2,Basilisk Card,500,220,4,784,0.0,0.0,TTTT,4,5,1.0
644110,card_gremlin,[Card Equip Effect] Attack +[{img star_mark 20 20}*7] when equipping Slash weapons,icon_item_card_atk,124_gremlin,,,,,58522,,,,5,0,Gremlin Card,500,331,2,610,0.0,0.0,TTTT,4,0,1.0
644111,card_plokste,[Card Equip Effect] Physical Attack +[{img star_mark 20 20}*5],icon_item_card_atk,120_plokste,,,,,800062,,,,7,2,Plokste Card,500,224,6,484,0.0,0.0,TTTT,4,0,1.0
