$ID,$ID_NAME,Bonus2,Bonus3,Bonus4,Bonus5,Bonus6,Bonus7,Link_Items,Name
30,set_030,HP Recovery {img green_up_arrow 16 16} 190,Add. Earth Property Damage {img green_up_arrow 16 16}42,STR {img green_up_arrow 16 16} 25,,,,"[504108, 514108, 524108, 534108]",Lolopanther Plate Set
31,set_031,,Magic Defense {img green_up_arrow 16 16} 10,,,,,"[582119, 602116, 602116]",Bronza Set
32,set_032,,Magic Defense {img green_up_arrow 16 16} 14,,,,,"[582120, 602117, 602117]",Argint Set
33,set_033,,Magic Defense {img green_up_arrow 16 16} 18,,,,,"[582121, 602118, 602118]",Auru Set
34,set_034,,Magic Defense {img green_up_arrow 16 16} 22,,,,,"[582122, 602119, 602119]",Platina Set
35,set_035,HP Recovery {img green_up_arrow 16 16}240,All Stats {img green_up_arrow 16 16}6,Adds an additional hit of {img green_up_arrow 16 16}110 Ice property damage to basic attacks{nl}Increases STR and SPR by {img green_up_arrow 16 16}12,,,,"[502208, 512208, 522208, 532208]",Manahas Set
36,set_036,,All Stats {img green_up_arrow 16 16}25,SP {img green_up_arrow 16 16}1437,,Add. Earth Property Damage {img green_up_arrow 16 16}162,Magic Attack {img green_up_arrow 16 16}571{nl}Magic Critical Attack {img green_up_arrow 16 16}69,"[534109, 524109, 514109, 504109, 584106, 604104, 604104]",Solmiki Cloth Set
37,set_037,,All Stats {img green_up_arrow 16 16}25,Physical Critical Attack {img green_up_arrow 16 16}225{nl}Accuracy {img green_up_arrow 16 16}100,,Evasion {img green_up_arrow 16 16}48{nl}Critical Rate {img green_up_arrow 16 16}72,Physical Attack {img green_up_arrow 16 16}818,"[534110, 524110, 514110, 504110, 584107, 604105, 604105]",Solmiki Leather Set
38,set_038,,All Stats {img green_up_arrow 16 16}25,HP {img green_up_arrow 16 16}3942,,Physical Defense {img green_up_arrow 16 16}201{nl}5% chance of recovering 2% of your max HP every second for 5 sec when being attacked by Demon type enemies{nl}(Cooldown 10 sec),Magic Defense {img green_up_arrow 16 16}247{nl}Physical Attack {img green_up_arrow 16 16}571,"[534111, 524111, 514111, 504111, 584108, 604106, 604106]",Solmiki Plate Set
39,set_039,Critical Rate {img green_up_arrow 16 16}30,Physical Attack {img green_up_arrow 16 16}120{nl}AoE Attack Ratio {img green_up_arrow 16 16}1{nl}Additional 1000-3000 damage on every 5th attack,,,,,"[584109, 604107, 604107]",Varpas Set
40,set_040,Magic Critical Attack {img green_up_arrow 16 16}60,Magic Attack {img green_up_arrow 16 16}120{nl}AoE Attack Ratio {img green_up_arrow 16 16}1{nl}Additional 1000-3000 damage on every 5th attack,,,,,"[584110, 604108, 604108]",Verijo Set
41,set_041,,,,,,,[11119],Guild Battle 1st Place Set
42,set_042,,,,,,,[11120],Guild Battle 2nd Place Set
43,set_043,,,,,,,[11121],Guild Battle 3rd Place Set
44,set_044,Physical Defense {img green_up_arrow 16 16}50{nl}Magic Defense {img green_up_arrow 16 16}50,Attack on Large targets {img green_up_arrow 16 16} 200{nl}AoE attack ratio {img green_up_arrow 16 16} 1,,,,,"[580010, 600014, 600015]",Sugar Accessory Set
45,set_045,CON {img green_up_arrow 16 16} 25,"Increases property attack in value equivalent to property resistance{nl}- Affected properties: Fire, Ice, Lightning, Dark, Holy, Earth, Psychokinesis{nl}- Max. 300 per property",,,,,"[584112, 604110, 604110]",Kite Moor Set
46,set_046,AoE Attack Ratio {img green_up_arrow 16 16}1{nl}Physical critical attack {img green_up_arrow 16 16}231,Chance of dealing 2000-3000 additional damage to a maximum of 10 enemies.{nl}- The chances increase depending on the number of enemies nearby.{nl}- Max. increase 20%,,,,,"[584114, 604112, 604112]",Frieno Set
47,set_047,HP {img green_up_arrow 16 16}1023{nl}DEX {img green_up_arrow 16 16}10,"Increases physical and magic defense by 10 with every hit received. At 50 stacks, increase physical and magic defense by an extra 500 and maintain for 10 seconds.",,,,,"[584113, 604111, 604111]",Pasiuteset
48,set_048,Magic Attack {img green_up_arrow 16 16}120,"Increases Magic Attack by 2 with each attack. At max 50 stacks, increase Magic Attack by an extra 250.",,,,,"[584111, 604109, 604109]",Lynnki Sit Set
52,set_052,Physical Attack {img green_up_arrow 16 16}60{nl}Magic Attack {img green_up_arrow 16 16}60,Movement Speed {img green_up_arrow 16 16} 2,,,,,"[580013, 580014, 600027, 600027, 600026, 600026]",2018 White Day Set
53,set_053,'Velcoffer's Nest' provides a damage reduction of 10%,,,,,,"[19004, 633093]",Velcoffer Costume Set
54,set_054,,,,,,,[11131],Territory Wars Beta Set
55,set_055,,,,,,,[11132],Territory Wars Beta Set
56,set_056,,ENH: Necklaces and bracelets gain +10 critical rate per enhancement stage starting at stage 11{nl} {nl}TRA: Necklaces and bracelets gain +5 critical rate per transcendence stage{nl} {nl} (Max. critical rate increase: 350),,,,,"[584115, 604115, 604115]",Nepagristas Set
57,set_057,,Attacking enemies of level 400 and below from the back ignores their block chances.,,,,,"[584116, 604116, 604116]",Nematomas Set
58,set_058,,"Grants 50% of your max. HP and physical/magic defense to your summons.{nl} {nl}Grants up to:{nl}Max. HP 30,000{nl}Defense 6,000",,,,,"[584117, 604117, 604117]",Rangovas Set
59,set_059,"Resistance to Fire, Ice, Electricity, Dark, Psychokinesis, Holy and Earth property attacks {img green_up_arrow 16 16}150","Increases the additional Holy-property damage on every attack by a value equal to your property resistance.{nl}- Properties: Fire, Ice, Electricity, Poison, Dark, Holy, Earth, Psychokinesis (max. 1,500 increase){nl} {nl}Dragon Strength Lv 2 Effects{nl}Additional Holy-property damage increased by a value equal to 8% of your magic defense (max. 4,000 increase).",,,,,"[585002, 605002, 605002]",Drakonas Kite Moor Set
60,set_060,AoE Attack Ratio {img green_up_arrow 16 16}3{nl}Physical Critical Attack {img green_up_arrow 16 16}353,Gives you 20% chance to inflict between 5000-8000 damage to 10 nearby enemies that are attacked.{nl}Dragon Strength Lv 2{nl}Damage received by target from Drakonas Frieno increases by 10% with a reduced number of enemies targetted.,,,,,"[585004, 605004, 605004]",Drakonas Frieno Set
61,set_061,Critical Rate {img green_up_arrow 16 16}135{nl}Physical Critical Attack {img green_up_arrow 16 16}657,ENH: Critical rate increases by (5 * sum total ENH Lv of equipped accessories). (Increases up to a maximum of 150){nl} {nl}Dragon Strength Lv 2{nl}TRA: Increases physical critical attack by (30 * sum total TRA Lv of equipped accessories) when under the effect of Dragon Strength.,,,,,"[585003, 605003, 605003]",Drakonas Pasiutes Set
62,set_062,CON {img green_up_arrow 16 16}35{nl}Casting time reduced by 10%{nl}Magic Critical Attack {img green_up_arrow 16 16}452,Gives you 5% chance to tie down the enemy for 3 seconds.{nl}Dragon Strength Lv 2{nl}The magic defense of tied down enemies is reduced by 15%.{nl}{/} Elite and Boss monsters will only have their defenses reduced.,,,,,"[585001, 605001, 605001]",Drakonas Lynnki Sit Set
63,set_063,,5% chance to activate Berserk on attack.{nl} {nl}Berserk{nl}Increases Critical Rate by 10% for 5 seconds (maximum increase of 200).,,,,,"[584118, 604118, 604118]",Abyss Irredian Set
64,set_064,,3% chance to activate Cevisa - Protection when hit.{nl} {nl}Cevisa - Protection{nl}Damage received {img green_down_arrow 16 16}10%{nl}Movement Speed {img green_up_arrow 16 16}5{nl}(10-second duration),,,,,"[584119, 604119, 604119]",Cevisa Irredian Set
65,set_065,,,,,,,[635507],Best Man Costume (30 Days)
66,set_066,,,,,,,[635508],Bridesmaid Costume (30 Days)
